區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
鹽埕區,-11,-17,-23,-26,-17,-20,-32,-40,-64,-25,8,-16
鼓山區,15,100,69,97,26,17,111,214,64,47,103,218
左營區,61,24,12,52,78,-74,-26,81,22,-44,0,-73
楠梓區,58,124,225,30,130,132,125,226,81,51,87,209
三民區,29,-3,-4,96,-185,-143,-362,-239,-278,-258,-102,-250
新興區,-84,-68,-41,-15,-2,-27,41,33,65,15,-40,0
前金區,20,-25,32,39,-9,-14,-3,-40,-37,-42,-14,39
苓雅區,-99,-125,-115,-150,-175,-220,-70,-83,-203,-96,-103,-45
前鎮區,-85,-51,-110,-84,-181,-60,-130,-191,-170,-35,-65,-49
旗津區,-44,-14,-41,0,-3,-18,11,-30,42,7,2,-31
小港區,43,8,24,28,45,-54,32,4,-45,-7,41,41
鳳山區,157,56,12,-31,58,192,234,2,52,32,58,24
林園區,-29,12,-2,-36,-12,-35,-12,-40,-19,43,-11,13
大寮區,-40,-30,19,90,-33,25,69,-3,-5,12,32,-3
大樹區,-40,-3,-5,-35,-44,-10,4,-39,6,-16,12,-26
大社區,-32,-46,13,-3,-31,7,41,46,0,5,1,5
仁武區,176,76,13,43,147,185,160,253,146,107,44,106
鳥松區,-14,-3,36,-1,56,10,-33,-53,8,38,-7,0
岡山區,9,17,-84,17,-51,-20,-52,-92,-10,-28,18,-3
橋頭區,11,42,39,13,4,31,51,9,-1,28,-6,-20
燕巢區,14,-21,-7,-17,9,3,46,30,15,10,25,-10
田寮區,-2,-6,-11,-2,0,4,10,17,-5,7,-1,1
阿蓮區,-24,-19,10,-11,-19,-13,2,-11,-21,-24,-31,-26
路竹區,-12,-36,19,-39,-22,-33,-30,-36,-50,13,-2,-5
湖內區,-8,4,-59,-6,14,50,-10,1,-1,0,-9,-21
茄萣區,-34,-6,-36,27,8,0,6,-27,-3,-8,-9,-33
永安區,-3,-27,-31,1,2,-6,0,2,6,-11,1,-10
彌陀區,-17,-8,-12,-4,-26,-28,-2,-12,-21,13,-8,-23
梓官區,13,-17,-27,5,2,3,-7,-2,-11,-31,-6,17
旗山區,-31,-20,-13,13,-14,-40,19,-33,-25,-16,-30,1
美濃區,36,-6,-11,22,-30,-26,-11,-39,-53,-1,-17,-7
六龜區,-10,9,-9,-4,-13,-14,-1,-20,4,14,-17,-5
甲仙區,-1,-12,-8,-7,-8,-1,1,1,5,-4,-9,-6
杉林區,-11,-11,15,-2,3,2,-13,6,-7,10,-2,-9
內門區,-9,-9,-11,-14,-7,-11,1,14,-1,2,-12,-26
茂林區,0,7,0,0,5,3,1,1,3,-1,7,0
桃源區,2,12,-7,6,-2,-2,2,-3,6,2,0,8
那瑪夏區,2,-11,-3,-18,-3,-2,-5,4,5,-1,-6,7
總計,6,-103,-132,74,-300,-207,168,-89,-500,-192,-68,-8
