"區域別","總計"
"鹽埕區","25,411"
"鼓山區","135,759"
"左營區","195,777"
"楠梓區","178,666"
"三民區","347,611"
"新興區","52,540"
"前金區","27,733"
"苓雅區","175,762"
"前鎮區","193,842"
"旗津區","28,907"
"小港區","156,205"
"鳳山區","354,412"
"林園區","70,485"
"大寮區","111,231"
"大樹區","43,237"
"大社區","34,449"
"仁武區","81,088"
"鳥松區","43,809"
"岡山區","97,787"
"橋頭區","37,227"
"燕巢區","30,364"
"田寮區","7,643"
"阿蓮區","29,555"
"路竹區","53,071"
"湖內區","29,418"
"茄萣區","30,649"
"永安區","14,111"
"彌陀區","19,827"
"梓官區","36,406"
"旗山區","38,079"
"美濃區","41,167"
"六龜區","13,652"
"甲仙區","6,415"
"杉林區","12,520"
"內門區","15,158"
"茂林區","1,910"
"桃源區","4,278"
"那瑪夏區","3,194"
"總計","2,779,355"
